Date,Location,Operator,Route,Type,Aboard,Fatalities,Ground
5/19/1978,"Saint John's, Newfoundland",Gander Aviation,Survey,Beech Queen Air A80,10,10,0
9/17/1978,"Monroe, Massachusetts",Business Aircraft - Air Taxi,"Bridgeport, CT - Albany, NY",Cessna 310N,3,3,0
11/5/1978,"Lubbox, Texas",Astrd Wing Aviaiton - Air Taxi,"Dallas, TX - Lubbox, TX",Cessna 310J,2,2,0
11/21/1978,"Hydaburg, Alaska",Tyee Airlines - Air Taxi,"Ketchikan, AK - Hydaburg, AK",de Havilland DHC-2,5,5,0
12/17/1978,"Morton, Illinois",Galesburg Aviation - Air Taxi,"Terra Haute, IN - Moline, IN",Cessna 210L,2,2,0
3/1/1979,"Galesburg, Illinois",Agee Flying Service - Air Taxi,"Lebanon, TN - Galesburg, IL",Cessna 310B,4,4,0
3/14/1979,"Near Moscow, Russia",Aeroflot,Moscow - Odessa,Tupolev TU-104B,106,86,0
10/27/1979,"Tijuana, Mexico",Procurator Generale de la Republica,,de Havilland Canada DHC-6 Twin Otter 300,10,10,0
10/28/1979,"Mexico City, Mexico",Western Airlines,"Los Angeles, CA  - Mexico City, Mexico",McDonnell Douglas DC-10-10,88,72,1
11/30/1979,"Nome, Alaska",Evergreen Helicopter - Air Taxi,"Nome, AK - Return",de Havilland DHC-6,4,4,0
12/23/1979,"Ankara, Turkey",Turkish Airlines (THY),Ankara - Samsun,Fokker F-28 Fellowship 1000,45,41,0
1/21/1980,"Elburz Mtns., near Laskarak, Markazi, Iran",Iran National Airlines,Babol Sar - Tehran,Boeing B-727-86,128,128,0
5/28/1980,"Gran Canaria Island, Spain",Spanish Air Force,,Lockheed C-130,11,11,0
6/15/1980,"Lihue, Hawaii",Aero PaLease - Air Taxi,"Honolulu, HI - Lihue, HI",Piper PA-34,2,2,0
8/3/1980,"Togiak, Alaska",Yute Air Alaska - Air Taxi,"Dillingham, AK - Return",de Havilland DHC-3,9,2,0
11/19/1980,"Seoul, South Korea",Korean Airlines,Anchorage - Seoul,Boeing B-747-2B5B,226,15,0
2/11/1981,"White Plains, New York",Private - Corporate,"White Plains, NY - Toronto, Canada - White Plains, NY",Lockheed 1339,8,8,0
3/15/1981,"Shemya AFB, Alaska",Military - U.S. Air Force,Fairbanks - Shemya AFB,Boeing RC-135S,24,6,0
5/22/1981,"Near Zumba, Ecuador",TAME,,de Havilland Canada DHC-6 Twin Otter 300,18,18,0
5/24/1981,"Near Guachala, Ecuador",Military - Ecuadorean Air Force,Quito - Macara,Beech Super King Air 200/DHC6-Twin Otter,27,27,0
12/1/1981,"Mt. San Pietro, near Ajaccio, Corsica, France",Inex Adria Aviopromet (Yugoslavia),Ljubljana - Ajaccio,McDonnell Douglas MD-81,180,180,0
6/8/1982,"Near Pacatuba, Brazil",VASP,Rio de Janerio - Fortaleza,Boeing B-727-212A,137,137,0
12/9/1982,"Near Klawock, Alaksa",Air Taxi - Tyee Airlines Inc.,"Ketchikan, AK - Craig, AK",de Havilland DHC-2,8,8,0
1/16/1983,"Ankara, Turkey",Turkish Airlines (THY),Istanbul - Ankara,Boeing B-727-2F2,67,47,0
3/11/1983,Barquisimeto Venezuela,Avensa,Caracas - Barquisimeto,McDonnell Douglas DC-9-32,50,23,0
12/7/1983,"Near Madrid, Spain",Iberia Airlines / Aviaco,Madrid - Rome,Boeing B-727-200 / DC9-32,135,93,0
10/2/1984,"Ausin, Nevada",Air Taxi - Desert Flying Service,"Reno, NV - Eureka, NV",Cessna R182,3,3,0
10/9/1984,"Fort Franklin, Canada",Nahanni Air Services,Fort Norman - Fort Franklin,de Havilland Canada DHC-6 Twin Otter 100,7,7,0
12/17/1984,"Bainbridge, New York",Air Taxi - Delaware Aviation LLC,"Binghamton, NY - Bainbridge, NY",PA-23-250,4,4,0
1/18/1985,"Jinan, China",CAAC,Nanjing - Jinan,Antonov AN-24B,41,38,0
1/23/1985,"Cerro el Plateado, Colombia",Aerolineas Centrales de Colombia,Medellin - Quibdo,de Havilland Canada DHC-6 Twin Otter 300,23,23,0
3/28/1985,"Near Florencia, Colombia",SATENA,Bogota - San Vicente del Caguán - Florencia,Fokker F-28 Fellowship 3000,46,46,0
1/28/1986,"Sao Paulo, Brazil",VASP,Sao Paulo - Belo Horizonte,Boeing B-737-2A1,72,1,0
1/29/1986,"Las Lomitas, Mexico",Aerocalifornia,Villa Constitucion - Los Mochis,Douglas DC-3A-178,21,21,0
12/12/1986,"Berlin, East Germany",Aeroflot,Minsk - Berlin,Tupolev TU-134A,82,70,0
5/13/1987,"Sayre, Pennsylvania",Air Taxi,"Sayre, PA - Washington, District of Colombia",Piper PA-32-300,3,2,0
6/26/1987,"Near Baguio, Philippines",Philippine Air Lines,Manila - Baguio,Hawker Siddeley HS-748-209 Srs. 2,50,50,0
11/4/1987,"Bellingham, Washington",Air Taxi - Flying School of the Cascades Inc.,"Tacoma, WA - Bellingham, WA",Cessna 310 N,4,4,0
12/21/1987,"Bordeaux, France",Air Littoral,Brussels - Bordeaux,Embraer 120 Brasilia,16,16,0
5/6/1988,"Near Broennoysund, Norway",Wideroe's Flyveselksap,Namsos - Bronnoysund,de Havilland Canada DHC-7-102,36,36,0
9/5/1988,"Sitka, Alaska",Wrangell Air Service,Sitka - Petersburg,Britten-Norman BN-2A Islander,10,1,0
5/30/1979,"Rockland, Maine",Downeast Airlines,Boston - Rockland,de Havilland DHC-6-200,18,17,0
10/17/1988,"Rome, Italy",Uganda Airlines,London - Rome,Boeing B-707-338C,52,33,0
10/19/1988,"Near Ahmedabad, India",Indian Airlines,Bombay - Ahmadabad,Boeing B-737-2A8,129,124,0
2/3/1989,"Rangoon, Myanmar",Burma Airways,Rangoon - Kentung,Fokker F-27 Friendship 600,29,26,0
5/6/1989,"Columbia, Tennessee",Southern Express,Memphis - Columbia,Embraer EMB-110 Bandeirante,2,1,0
6/7/1989,"Near Paramaribo, Surinam",Surinam Airways,Paramaribo - Zanderij,McDonnell Douglas DC-8 Super 62,187,176,0
7/27/1989,"Tripoli, Libya",Korean Airlines,Jeddah - Tripoli,McDonnell Douglas DC-10-30,199,75,4
8/21/1989,"Gold Beach, Oregon",Air Taxi,"Medford, OR - Medford, OR",Beechcraft C90,3,3,0
8/28/1989,"Lynchburg, Virginia",Bay Land Aviation,"Salisbury, MD - Lynchburg, VA",Piper PA-31-350 Navajo,5,5,0
9/15/1989,"Mayfield, Kentucky",Wehite Cap Aviation,"Orlando, FL - Mayfield, KY",Beech King Air B100,6,6,0
6/6/1990,"Near Altamira, Brazil",TABA,Belem - Altamira,Fairchild FH-227B,42,23,0
8/27/1990,"Elkhorn, Wisconsin",Private - Omniflight Helicopters,"Elkhorn, WI - Chicago, IL",Bell BHT-206-B Helicopter,5,5,0
9/24/1990,"San Luis Obispo, California",HiTech Helicopters,"Van Nuys, CA - San Luis Obispo, CA",Cessna 501 Citation,4,4,0
